Wall time,Step,Value
1739955182.8320708,13412352,1431.0
1739955187.0738347,13418496,1432.0
1739955199.8783488,13436928,1432.0
1739955208.5929172,13449216,1431.0
1739955215.8467991,13459456,1431.0
1739955234.82148,13486080,1429.0
1739955241.954975,13496320,1429.0
1739955265.1542041,13529088,1428.0
1739955272.384297,13539328,1428.0
1739955279.4716775,13549568,1428.0
1739955285.0937674,13557760,1428.0
1739955318.0980031,13590528,1536.0
1739955338.1428258,13619200,1456.0
1739955366.9987566,13660160,1437.0
1739955384.0167592,13684736,1439.0
1739955401.051709,13709312,1439.0
1739955450.9115705,13780992,1438.0
1739955460.9418728,13795328,1438.0
1739955468.0608087,13805568,1438.0
1739955470.7443285,13809664,1439.0
1739955473.625361,13813760,1439.0
1739955482.2479312,13826048,1438.0
1739955487.8719046,13834240,1439.0
1739955510.8602526,13867008,1437.0
1739955526.3061826,13889536,1439.0
1739955547.6106882,13920256,1439.0
1739955560.3393753,13938688,1439.0
1739955584.7479284,13973504,1438.0
1739955611.7274501,14012416,1439.0
1739955626.030957,14032896,1438.0
1739955634.5366666,14045184,1438.0
1739955642.0280733,14055424,1437.0
1739955644.7464838,14059520,1437.0
1739955653.3055184,14071808,1437.0
1739955673.7631376,14090240,1637.0
1739955697.014269,14123008,1449.0
1739955752.2693546,14202880,1446.0
1739955755.0468383,14206976,1447.0
1739955759.376993,14213120,1446.0
1739955775.1152053,14235648,1444.0
1739955785.2180877,14249984,1442.0
1739955839.1627042,14327808,1442.0
1739955861.997843,14360576,1441.0
1739955869.0484471,14370816,1441.0
1739955871.8712978,14374912,1441.0
1739955876.1157136,14381056,1442.0
1739955900.3736124,14415872,1441.0
1739955914.7677495,14436352,1440.0
1739955916.3303306,14438400,1439.0
1739955937.9555323,14469120,1437.0
1739955951.9764001,14489600,1439.0
1739955998.8749032,14557184,1439.0
1739956036.92879,14604288,1489.0
1739956046.6396062,14618624,1484.0
1739956050.9775643,14624768,1473.0
1739956059.4506114,14637056,1468.0
1739956114.1364996,14714880,1441.0
1739956132.7921586,14741504,1438.0
1739956134.1271048,14743552,1439.0
1739956137.0592213,14747648,1438.0
1739956145.694838,14759936,1437.0
1739956149.8735366,14766080,1438.0
1739956175.5921736,14802944,1437.0
1739956201.4537477,14839808,1436.0
1739956236.2918527,14888960,1431.0
1739956241.8312397,14897152,1433.0
1739956259.0039022,14921728,1432.0
1739956271.7872703,14940160,1433.0
1739956311.118632,14997504,1436.0
1739956319.8468103,15009792,1435.0
1739956357.1833754,15063040,1434.0
1739956363.0298264,15071232,1434.0
1739956365.971038,15075328,1433.0
1739956397.2952225,15101952,1493.0
1739956404.3906558,15112192,1473.0
1739956411.7159958,15122432,1451.0
1739956417.455775,15130624,1447.0
1739956431.7764664,15151104,1441.0
1739956443.0059123,15167488,1445.0
1739956488.807574,15233024,1438.0
1739956498.7091842,15247360,1439.0
1739956514.5455596,15269888,1437.0
1739956516.1228316,15271936,1435.0
1739956524.7519214,15284224,1435.0
1739956555.9539158,15329280,1436.0
1739956561.7533402,15337472,1435.0
1739956564.6488807,15341568,1435.0
1739956581.7986903,15366144,1435.0
1739956615.659168,15415296,1437.0
1739956632.9176395,15439872,1436.0
1739956644.4343758,15456256,1436.0
1739956653.1894782,15468544,1435.0
1739956669.4078074,15491072,1432.0
1739956681.0289195,15507456,1431.0
1739956683.9806652,15511552,1431.0
1739956692.517541,15523840,1431.0
1739956701.5311167,15536128,1429.0
1739956741.9683228,15593472,1719.0
1739956752.008376,15607808,1504.0
1739956754.7148054,15611904,1505.0
1739956757.5928855,15616000,1493.0
1739956761.7428498,15622144,1491.0
1739956805.5859795,15685632,1463.0
1739956807.1309416,15687680,1459.0
1739956814.3198974,15697920,1456.0
1739956834.6410139,15726592,1446.0
1739956837.5749168,15730688,1445.0
1739956839.0798612,15732736,1444.0
1739956926.569843,15855616,1425.0
1739956935.19213,15867904,1425.0
1739956939.4358926,15874048,1426.0
1739956976.4241152,15927296,1428.0
1739956977.9420044,15929344,1427.0
1739956982.162896,15935488,1428.0
1739956983.677867,15937536,1427.0
1739957030.9597776,16005120,1428.0
1739957032.3512487,16007168,1428.0
1739957070.2502594,16060416,1425.0
1739957109.2719223,16095232,1680.0
1739957114.9841661,16103424,1530.0
1739957126.5854177,16119808,1464.0
1739957133.7339594,16130048,1456.0
